statu;pa_flqt
PRODUÇÃO APROVADA TOTALMENTE;K
APROVADO TOTALMENTE - TETO FINANCEIRO;R
APROVADO TOTALMENTE - TETO FINANCEIRO CMP ATUAL;S
PARCIALMENTE APROVADA - ULTRAPASSOU TETO FISICO;L
PARCIALMENTE APROVADA - ULTRAPAS.TETO FINANCEIRO;M
PARCIALMENTE APROVADA - TETO FINANCEIRO CMP ATUAL;T
NÃO APROVADA - PROCEDIMENTO SEM ORCAMENTO;P
NÃO APROVADA - PROCEDIMENTO SEM VALOR UNITARIO;Q
NÃO APROVADA - ULTRAPASSOU TETO FISICO;N
NÃO APROVADA - ULTRAPASSOU TETO FINANCEIRO;O
PRODUÇÃO SEM QUANTIDADE PRODUZIDA;-1
