uf;uf_nome;0 a 4 anos;5 a 9 anos;Até 9 anos;10 a 14 anos;15 a 19 anos;Entre 10 e 19 anos;Entre 20 e 29 anos;Entre 30 e 39 anos;Entre 40 e 49 anos;Entre 50 e 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Acima de 60 anos
11;Rondônia;66959;70769;137728;75682;81751;157433;167030;167039;131708;100391;59001;24050;8190;91241
12;Acre;41076;43075;84151;44578;45152;89730;81149;68181;52123;33856;20291;9113;3612;33016
13;Amazonas;190941;203523;394464;211856;214853;426709;405881;341069;265017;175970;101038;41108;14165;156311
14;Roraima;24292;25947;50239;27477;29157;56634;54500;45146;33113;23461;13721;5311;1452;20484
15;Pará;361245;388297;749542;411144;420669;831813;792524;712472;559240;381009;236047;104522;37011;377580
16;Amapá;37873;39328;77201;41862;45143;87005;83326;67239;51866;35580;19228;7490;2661;29379
17;Tocantins;61751;65442;127193;69874;73058;142932;139936;136278;108675;76766;48502;24263;10014;82779
21;Maranhão;302935;332832;635767;359191;349967;709158;581197;569973;433583;284401;182790;89406;38217;310413
22;Piauí;113207;123953;237160;139374;145130;284504;244569;264842;216199;153267;100945;51590;18168;170703
23;Ceará;326117;346513;672630;371962;393094;765056;775196;755940;587321;451690;279722;151536;64628;495886
24;Rio Grande do Norte;124153;131332;255485;141507;150986;292493;297274;306602;242746;190240;112667;60252;25416;198335
25;Paraíba;144401;157118;301519;169652;170931;340583;308773;333936;272998;202172;127468;71325;31439;230232
26;Pernambuco;338313;362386;700699;393007;412226;805233;768540;764919;656075;479725;303861;152302;60234;516397
27;Alagoas;132108;143029;275137;155174;157644;312818;275137;259011;216867;155122;98264;48433;17392;164089
28;Sergipe;85251;89138;174389;95953;103749;199702;199681;193847;158303;114747;69113;32729;11052;112894
29;Bahia;534772;576664;1111436;619330;629218;1248548;1193273;1286062;1117637;797596;523783;258770;106196;888749
31;Minas Gerais;648785;692623;1341408;744986;804957;1549943;1676345;1765317;1549444;1249375;907323;457553;210033;1574909
32;Espírito Santo;130752;138461;269213;147563;159010;306573;339277;350596;300447;237483;169507;75594;33389;278490
33;Rio de Janeiro;495811;518053;1013864;549902;604578;1154480;1326303;1257197;1204821;1014069;752619;368665;150100;1271384
35;São Paulo;1378752;1442314;2821066;1539347;1699747;3239094;3631864;3728878;3380062;2745923;1944617;957704;388146;3290467
41;Paraná;356112;377661;733773;403698;435956;839654;916172;911125;804375;690893;477579;243126;101848;822553
42;Santa Catarina;222633;232785;455418;244734;267235;511969;615586;629041;514428;448707;310678;146175;54895;511748
43;Rio Grande do Sul;324123;340815;664938;364205;401033;765238;855651;882060;769951;704823;558257;290557;116321;965135
50;Mato Grosso do Sul;99317;106054;205371;112066;116510;228576;231636;230950;194689;154375;101161;47741;20382;169284
51;Mato Grosso;123567;131417;254984;139184;145864;285048;293163;295861;251825;198074;124075;54747;20237;199059
52;Goiás;226825;239908;466733;259411;291549;550960;617021;599859;514643;391930;245040;116784;45990;407814
53;Distrito Federal;109979;104795;214774;105084;119985;225069;294825;273821;225456;151247;93588;47925;20178;161691
